, Global Innovation Index, Innovation Efficiency Ratio, Innovation Input Sub-index, Innovation Output Sub-index,Institutions,Human capital and research,Infrastructure,Market sophistication,Business sophistication,Knowledge and technology outputs,Creative outputs
Albania,28.9,0.4,42,15.7,62,91,66,41,102,118,100
Algeria,24.3,0.5,33.1,15.6,103,86,79,122,119,107,116
Argentina,32,0.5,41.4,22.6,109,34,65,104,59,89,80
Armenia,35.7,0.8,39.7,31.6,63,103,91,46,85,50,44
Australia,51.8,0.6,64.6,39.1,14,9,7,9,27,34,24
Austria,53.1,0.7,62.9,43.3,15,8,16,30,19,21,17
Azerbaijan,30.6,0.5,40.7,20.5,74,108,50,23,110,104,87
Bahrain,34.7,0.6,44.4,24.9,51,73,38,84,93,73,71
Bangladesh,23.7,0.5,30.6,16.8,122,124,95,103,99,96,110
Belarus,30,0.4,43.2,16.7,81,36,67,90,65,61,123
Belgium,49.9,0.7,59.5,40.2,26,11,32,40,22,31,19
Benin,23,0.5,31.3,14.8,82,97,123,120,88,122,99
Bolivia,25.6,0.6,32.6,18.7,127,85,102,63,98,99,96
Bosnia and Herzegovina,30.2,0.5,41.1,19.3,71,39,96,79,90,92,98
Botswana,30,0.4,43.6,16.4,46,65,83,52,91,102,114
Brazil,33.1,0.5,43.5,22.7,91,50,57,74,43,85,83
Brunei Darussalam,32.9,0.3,49.3,16.5,31,69,55,54,34,114,105
Bulgaria,42.8,0.8,47.6,38.1,52,56,48,76,32,35,29
Burkina Faso,21.9,0.2,35.3,8.4,86,110,118,121,14,106,127
Burundi,21.3,0.4,30.2,12.4,118,114,124,114,36,124,115
Cambodia,27,0.6,33.2,20.9,98,118,113,37,111,90,92
Cameroon,22.6,0.6,29,16.1,119,101,119,113,109,101,117
Canada,53.7,0.6,65.6,41.7,7,20,18,3,24,19,27
Chile,38.7,0.6,48.3,29.1,41,61,47,50,46,49,59
China,52.5,0.9,54.2,50.9,78,25,27,28,9,4,26
Colombia,34.8,0.5,45.8,23.8,69,66,44,31,64,81,73
Costa Rica,37.1,0.7,44,30.2,56,62,61,101,52,59,40
Cote d'Ivoire,24,0.7,28.4,19.5,94,117,114,123,121,75,108
Croatia,39.8,0.7,48,31.6,42,47,33,88,53,51,43
Cyprus,46.8,0.7,53.9,39.7,21,40,59,19,31,17,41
Czech Republic,51,0.8,55.7,46.2,30,30,30,47,26,14,22
Denmark,58.7,0.7,68.7,48.7,6,3,15,6,12,16,9
Dominican Republic,31.2,0.6,37.8,24.5,90,109,78,70,67,91,60
Ecuador,29.1,0.6,36.1,22.2,116,93,76,68,103,109,66
Egypt,26,0.6,32.7,19.3,121,82,93,107,120,93,97
El Salvador,26.7,0.5,36.1,17.3,85,100,98,87,82,121,89
Estonia,50.9,0.8,57,44.9,20,38,11,26,29,27,8
Ethiopia,24.2,0.7,28.2,20.2,114,115,107,127,108,105,90
Finland,58.5,0.7,68.9,48.1,4,1,8,13,6,10,18
France,54.2,0.7,63.4,44.9,24,12,12,11,18,20,12
Georgia,34.4,0.6,42.2,26.6,47,89,74,53,101,54,69
Germany,58.4,0.8,63.3,53.5,18,10,20,16,15,8,7
Greece,38.8,0.6,49.7,28,59,16,58,48,80,74,51
Guatemala,27.9,0.6,35.9,19.9,107,107,103,77,47,111,84
Guinea,17.4,0.4,24.9,10,112,126,121,126,124,127,122
Honduras,26.4,0.5,34.8,18,117,102,104,66,70,117,93
Hong Kong (China),53.9,0.6,67,40.8,3,28,4,2,16,25,25
Hungary,41.7,0.7,48.4,35.1,40,42,46,91,40,33,42
Iceland,55.8,0.9,60.1,51.4,16,26,25,24,20,18,2
India,35.5,0.7,42.8,28.1,92,64,73,39,55,38,85
Indonesia,30.1,0.7,35.7,24.5,120,92,81,64,96,70,77
Iran,32.1,0.8,35.7,28.5,106,45,99,112,115,47,65
Ireland,58.1,0.8,62.9,53.4,12,18,17,25,10,5,13
Israel,53.9,0.8,61,46.8,49,15,28,15,5,9,30
Italy,47,0.7,54.4,39.5,38,32,19,36,35,26,33
Jamaica,30.4,0.6,38.7,22,57,88,108,95,69,108,67
Japan,54.7,0.7,65.5,44,13,14,9,12,11,12,36
Jordan,30.5,0.6,37.1,24,64,83,87,116,104,79,72
Kazakhstan,31.5,0.5,43.2,19.8,55,71,60,80,87,88,95
Kenya,31,0.7,37.2,24.7,84,119,97,56,62,63,79
"Korea, Republic of",57.7,0.8,63.3,52.1,35,2,13,14,17,6,15
Kuwait,36.1,0.8,40.3,31.9,76,68,49,58,127,41,55
Kyrgyzstan,28,0.5,38.2,17.9,102,74,94,61,89,87,111
Latvia,44.6,0.7,51.3,38,28,52,42,38,39,48,14
Lebanon,30.6,0.6,38,23.3,100,78,88,96,61,82,81
Lithuania,41.2,0.6,51.9,30.4,36,46,31,32,41,66,38
Luxembourg,56.4,1,57.4,55.4,19,33,24,78,7,15,1
Madagascar,24.2,0.7,28.8,19.5,99,116,125,106,116,113,88
Malawi,23.5,0.5,30.8,16.2,93,122,117,118,66,98,118
Malaysia,42.7,0.7,50.9,34.5,53,35,45,20,48,36,45
Mali,22.5,0.6,28.1,16.8,110,123,122,124,74,80,121
Malta,50.6,0.8,54.9,46.3,29,37,23,69,21,23,6
Mauritius,34.8,0.5,47.1,22.5,27,76,64,44,86,115,61
Mexico,35.8,0.6,44.5,27.1,68,55,53,49,71,64,58
Moldova,36.8,0.8,41.4,32.3,72,59,82,62,81,52,39
Mongolia,37.1,0.7,42.7,31.6,60,81,86,35,76,67,34
Montenegro,38.1,0.6,46.8,29.3,48,49,54,65,58,57,48
Morocco,32.7,0.6,40.6,24.8,70,63,51,89,122,77,68
Mozambique,24.5,0.6,30.5,18.6,113,104,110,111,106,72,119
Namibia,27.9,0.5,37.8,18.1,58,94,92,97,113,123,75
Nepal,24.2,0.5,32.5,15.9,115,113,105,75,95,112,109
Netherlands,63.4,0.9,65.8,60.9,11,19,14,17,1,2,5
New Zealand,52.9,0.6,64.1,41.6,2,17,22,8,28,29,16
Niger,21.2,0.4,31.2,11.2,97,98,112,125,72,78,126
Nigeria,21.9,0.5,28.9,14.9,123,112,111,94,118,119,102
Norway,53.1,0.7,64,42.3,5,21,1,22,23,22,20
Oman,31.8,0.5,43.5,20.2,39,51,56,72,126,100,91
Pakistan,23.8,0.6,29.4,18.2,124,121,109,102,78,84,112
Panama,35,0.7,41.3,28.7,66,96,36,83,94,60,50
Paraguay,30.3,0.6,37.6,23,105,87,89,45,92,120,46
Peru,32.9,0.5,44.2,21.6,67,84,69,27,49,97,82
Philippines,32.5,0.6,39.4,25.6,89,95,72,92,45,42,94
Poland,42,0.7,50.2,33.8,33,48,41,55,42,44,37
Portugal,46.1,0.7,53.8,38.3,23,29,39,43,50,39,21
Qatar,37.9,0.6,47,28.8,37,58,26,85,84,55,54
Romania,39.2,0.7,46.4,32,43,75,37,73,63,37,57
Russia,38.8,0.6,48.2,29.3,73,23,62,60,33,45,62
Rwanda,27.4,0.3,41.1,13.7,61,90,85,93,44,125,103
Saudi Arabia,36.2,0.5,47.3,25,88,31,40,51,54,62,74
Senegal,27.1,0.5,35.2,19,80,67,106,115,105,86,104
Serbia,35.3,0.6,43.8,26.9,50,54,52,99,79,53,70
Singapore,58.7,0.6,72.3,45.1,1,5,2,4,2,11,32
Slovakia,43.4,0.7,49.7,37.2,34,53,35,67,38,30,35
Slovenia,45.8,0.7,54.4,37.2,22,24,34,82,30,43,23
South Africa,35.8,0.5,46.9,24.7,54,60,75,21,57,65,78
Spain,48.8,0.7,57.3,40.3,32,27,10,18,37,24,28
Sri Lanka,29.9,0.6,36.3,23.4,111,105,63,86,83,68,86
Sweden,63.8,0.8,69.7,57.9,10,4,3,10,4,3,11
Switzerland,67.7,0.9,69.6,65.8,8,7,6,7,3,1,3
Tajikistan,28.2,0.6,35.5,20.8,108,80,120,29,107,58,106
Tanzania,28,0.7,32.3,23.6,83,125,100,110,97,94,64
TFYR Macedonia,35.4,0.6,44.5,26.3,45,77,80,59,56,83,56
Thailand,37.6,0.8,42.9,32.2,75,72,71,42,68,40,53
Togo,18.4,0.3,28.8,8,96,111,115,119,117,116,125
Trinidad and Tobago,29.7,0.6,38.2,21.3,65,99,101,71,77,56,101
Tunisia,32.3,0.6,40,24.6,77,44,70,98,112,69,76
Turkey,38.9,0.8,42.3,35.5,95,43,68,57,75,46,31
Uganda,27,0.5,36.7,17.2,79,106,84,108,60,103,107
Ukraine,37.6,0.8,41,34.2,101,41,90,81,51,32,49
United Arab Emirates,43.2,0.5,58,28.5,25,22,29,33,25,71,47
United Kingdom,60.9,0.8,68.3,53.5,9,6,5,5,13,13,4
United States,61.4,0.8,68.9,53.9,17,13,21,1,8,7,10
Uruguay,34.5,0.6,43.5,25.6,44,57,43,109,100,76,63
Vietnam,38.3,0.8,41.7,34.9,87,70,77,34,73,28,52
Yemen,15.6,0.4,22.4,8.9,126,120,126,117,123,126,124
Zambia,20.8,0.6,26.1,15.5,104,127,116,100,125,95,120
Zimbabwe,21.8,0.6,28,15.6,125,79,127,105,114,110,113
