,Killed,Month_start,Name,Country,Killed_log
1,3700000,7.0,,China P Rep,6.568201724066995
4,2000000,7.0,,China P Rep,6.301029995663981
15,500000,7.0,,China P Rep,5.698970004336019
48,57000,7.0,,China P Rep,4.7558748556724915
59,30000,8.0,,China P Rep,4.477121254719663
63,28700,7.0,,Bangladesh,4.457881896733992
121,6200,6.0,,China P Rep,3.792391689498254
149,4892,7.0,,India,3.689486448364248
150,4800,8.0,,China P Rep,3.681241237375587
166,3800,7.0,,India,3.57978359661681
170,3656,7.0,,China P Rep,3.5630061870617937
193,2775,6.0,,China P Rep,3.443262987458695
205,2566,6.0,,Japan,3.4092566520389096
218,2379,6.0,,Bangladesh,3.3763944420372662
231,2055,7.0,,Bangladesh,3.312811826212088
233,2001,5.0,,India,3.3012470886362113
236,2000,7.0,,China P Rep,3.3010299956639813
238,2000,7.0,,China P Rep,3.3010299956639813
248,2000,7.0,,India,3.3010299956639813
269,1811,8.0,,India,3.2579184503140586
276,1729,6.0,,China P Rep,3.2377949932739227
285,1600,8.0,,India,3.2041199826559246
287,1591,7.0,,India,3.2016701796465816
306,1479,9.0,,India,3.1699681739968923
308,1442,9.0,,India,3.15896526038341
309,1437,5.0,,China P Rep,3.157456768134226
317,1379,8.0,,Japan,3.13956426617585
327,1311,7.0,,China P Rep,3.117602691690084
342,1200,5.0,,Bangladesh,3.0791812460476247
343,1200,8.0,,China P Rep,3.0791812460476247
344,1200,7.0,,India,3.0791812460476247
345,1200,8.0,,India,3.0791812460476247
364,1110,7.0,,Bangladesh,3.0453229787866576
366,1103,7.0,,India,3.0425755124401905
382,1063,6.0,,India,3.0265332645232967
384,1050,7.0,,Bangladesh,3.0211892990699383
390,1024,7.0,,Japan,3.010299956639812
391,1023,6.0,,India,3.00987563371216
394,1001,6.0,,China P Rep,3.000434077479319
402,1000,6.0,,China P Rep,3.0
411,1000,9.0,,India,3.0
412,1000,8.0,,India,3.0
413,1000,10.0,,India,3.0
441,992,7.0,,Japan,2.9965116721541785
443,990,9.0,,Japan,2.99563519459755
453,933,6.0,,Japan,2.9698816437465
454,932,8.0,,India,2.9694159123539814
462,900,6.0,,India,2.9542425094393248
463,884,9.0,,India,2.946452265013073
470,867,8.0,,India,2.9380190974762104
473,850,8.0,,India,2.929418925714293
479,827,7.0,,India,2.9175055095525466
483,810,9.0,,India,2.90848501887865
491,793,6.0,,China P Rep,2.8992731873176036
501,764,8.0,,China P Rep,2.8830933585756897
504,741,6.0,,India,2.869818207979328
510,730,6.0,,Bangladesh,2.863322860120456
514,725,6.0,,China P Rep,2.8603380065709936
537,655,8.0,,Bangladesh,2.816241299991783
538,653,7.0,,Philippines,2.814913181275074
551,627,7.0,,India,2.7972675408307164
574,600,7.0,,India,2.7781512503836434
592,577,4.0,,China P Rep,2.7611758131557314
601,560,7.0,,China P Rep,2.7481880270062002
602,560,10.0,,India,2.7481880270062002
604,557,9.0,,India,2.745855195173729
606,553,7.0,,India,2.7427251313046983
611,549,6.0,,India,2.739572344450092
616,535,6.0,,China P Rep,2.7283537820212285
623,524,7.0,,India,2.7193312869837265
650,500,8.0,,China P Rep,2.6989700043360187
659,500,8.0,,India,2.6989700043360187
660,500,9.0,,India,2.6989700043360187
661,500,8.0,,India,2.6989700043360187
662,500,9.0,,India,2.6989700043360187
715,458,7.0,,Japan,2.660865478003869
730,447,5.0,,China P Rep,2.6503075231319366
737,440,6.0,,China P Rep,2.6434526764861874
750,430,6.0,,China P Rep,2.6334684555795866
755,427,3.0,,Bangladesh,2.630427875025024
757,422,8.0,,China P Rep,2.625312450961674
759,420,6.0,,China P Rep,2.6232492903979003
766,416,9.0,,Philippines,2.6190933306267428
781,400,9.0,,Bangladesh,2.6020599913279625
794,400,8.0,,India,2.6020599913279625
795,400,9.0,,India,2.6020599913279625
796,400,9.0,,India,2.6020599913279625
824,388,10.0,,India,2.5888317255942073
833,377,8.0,,Japan,2.576341350205793
846,363,6.0,,China P Rep,2.5599066250361124
853,357,6.0,,Japan,2.552668216112193
864,350,7.0,,India,2.5440680443502757
865,350,7.0,,India,2.5440680443502757
879,347,7.0,,Japan,2.5403294747908736
882,345,7.0,,Japan,2.537819095073274
