,Country,Month_start,Killed,Name,Killed_log
0,India,1,0.0,0.0,0.0
1,India,2,0.0,0.0,0.0
2,India,3,0.0,0.0,0.0
3,India,4,0.0,0.0,0.0
4,India,5,2.0,0.0,2.0
5,India,6,13.0,0.0,13.0
6,India,7,25.0,0.0,25.0
7,India,8,21.0,0.0,21.0
8,India,9,19.0,0.0,19.0
9,India,10,5.0,0.0,5.0
10,India,11,3.0,0.0,3.0
11,India,12,0.0,0.0,0.0
12,United States,1,2.0,0.0,2.0
13,United States,2,0.0,0.0,0.0
14,United States,3,1.0,0.0,1.0
15,United States,4,1.0,0.0,1.0
16,United States,5,0.0,0.0,0.0
17,United States,6,1.0,0.0,1.0
18,United States,7,1.0,0.0,1.0
19,United States,8,0.0,0.0,0.0
20,United States,9,0.0,0.0,0.0
21,United States,10,0.0,0.0,0.0
22,United States,11,0.0,0.0,0.0
23,United States,12,0.0,0.0,0.0
24,Japan,1,0.0,0.0,0.0
25,Japan,2,0.0,0.0,0.0
26,Japan,3,0.0,0.0,0.0
27,Japan,4,0.0,0.0,0.0
28,Japan,5,0.0,0.0,0.0
29,Japan,6,3.0,0.0,3.0
30,Japan,7,7.0,0.0,7.0
31,Japan,8,3.0,0.0,3.0
32,Japan,9,2.0,0.0,2.0
33,Japan,10,0.0,0.0,0.0
34,Japan,11,0.0,0.0,0.0
35,Japan,12,0.0,0.0,0.0
36,Bangladesh,1,0.0,0.0,0.0
37,Bangladesh,2,0.0,0.0,0.0
38,Bangladesh,3,2.0,0.0,2.0
39,Bangladesh,4,0.0,0.0,0.0
40,Bangladesh,5,2.0,0.0,2.0
41,Bangladesh,6,6.0,0.0,6.0
42,Bangladesh,7,6.0,0.0,6.0
43,Bangladesh,8,3.0,0.0,3.0
44,Bangladesh,9,2.0,0.0,2.0
45,Bangladesh,10,0.0,0.0,0.0
46,Bangladesh,11,0.0,0.0,0.0
47,Bangladesh,12,0.0,0.0,0.0
48,Philippines,1,1.0,0.0,1.0
49,Philippines,2,0.0,0.0,0.0
50,Philippines,3,0.0,0.0,0.0
51,Philippines,4,0.0,0.0,0.0
52,Philippines,5,0.0,0.0,0.0
53,Philippines,6,0.0,0.0,0.0
54,Philippines,7,2.0,0.0,2.0
55,Philippines,8,0.0,0.0,0.0
56,Philippines,9,1.0,0.0,1.0
57,Philippines,10,1.0,0.0,1.0
58,Philippines,11,0.0,0.0,0.0
59,Philippines,12,0.0,0.0,0.0
60,China P Rep,1,0.0,0.0,0.0
61,China P Rep,2,0.0,0.0,0.0
62,China P Rep,3,1.0,0.0,1.0
63,China P Rep,4,2.0,0.0,2.0
64,China P Rep,5,6.0,0.0,6.0
65,China P Rep,6,17.0,0.0,17.0
66,China P Rep,7,17.0,0.0,17.0
67,China P Rep,8,14.0,0.0,14.0
68,China P Rep,9,4.0,0.0,4.0
69,China P Rep,10,1.0,0.0,1.0
70,China P Rep,11,0.0,0.0,0.0
71,China P Rep,12,0.0,0.0,0.0
