,Killed,Month_start,Name,Country,Killed_log
19,300000,11.0,,Bangladesh,5.477121254719663
30,138866,4.0,Gorky (02B),Bangladesh,5.142595925939955
34,100000,7.0,,China P Rep,5.0
44,61000,10.0,,Bangladesh,4.785329835010767
50,50000,8.0,,China P Rep,4.698970004336019
52,40000,10.0,,India,4.6020599913279625
54,36000,5.0,,Bangladesh,4.556302500767287
69,22000,5.0,,Bangladesh,4.342422680822207
83,15000,5.0,,Bangladesh,4.176091259055681
86,14204,11.0,,India,4.152410663629578
87,12047,6.0,,Bangladesh,4.080878910341817
93,11000,5.0,,Bangladesh,4.041392685158225
107,9843,10.0,05B,India,3.99312748510571
109,9658,10.0,,India,3.9848872010643275
130,5956,11.0,Thelma (Uring),Philippines,3.7749546890801384
134,5149,10.0,,Bangladesh,3.7117228918272347
136,5098,9.0,Vera,Japan,3.7073998311332486
138,5000,5.0,,Bangladesh,3.6989700043360187
141,5000,9.0,,China P Rep,3.6989700043360187
145,5000,7.0,,India,3.6989700043360187
157,4234,11.0,Sidr,Bangladesh,3.6267508536833932
159,4000,9.0,,Japan,3.6020599913279625
168,3746,9.0,Makurazaki,Japan,3.5735677730392186
178,3006,9.0,,Japan,3.4779889762508893
180,3000,10.0,,Bangladesh,3.4771212547196626
185,3000,9.0,,Japan,3.4771212547196626
190,2871,6.0,03A,India,3.458033192496506
208,2500,8.0,,Bangladesh,3.3979400086720375
239,2000,8.0,,China P Rep,3.3010299956639813
263,1930,9.0,Catherine,Japan,3.285557309007774
267,1836,9.0,,United States,3.2638726768652235
268,1833,8.0,Katrina,United States,3.2631624649622166
272,1761,9.0,,Japan,3.245759355967277
282,1619,11.0,Winnie,Philippines,3.2092468487533736
291,1551,10.0,"Joan, Kate",Philippines,3.190611797813605
301,1500,9.0,,India,3.1760912590556813
314,1399,11.0,Durian (Reming),Philippines,3.1458177144918276
315,1399,9.0,Ike (Nitang) and Maring,Philippines,3.1458177144918276
339,1242,9.0,,India,3.0941215958405612
357,1175,9.0,Ida,Japan,3.070037866607755
358,1174,8.0,Fred (9416),China P Rep,3.0696680969115957
378,1079,11.0,Agnes (Undang),Philippines,3.0330214446829107
381,1064,8.0,Ellen,China P Rep,3.0269416279590295
397,1000,11.0,04B,Bangladesh,3.0
398,1000,12.0,,Bangladesh,3.0
399,1000,4.0,,Bangladesh,3.0
400,1000,12.0,,Bangladesh,3.0
403,1000,6.0,,China P Rep,3.0
415,1000,10.0,,India,3.0
416,1000,10.0,,India,3.0
420,1000,9.0,,Japan,3.0
432,1000,10.0,Rena,Philippines,3.0
440,995,10.0,"Trixy, Wilma",Philippines,2.9978230807457256
448,957,5.0,02B,India,2.9809119377768436
450,943,10.0,Ruth,Japan,2.9745116927373285
464,882,11.0,Angela (Rosing),Philippines,2.94546858513182
465,882,11.0,Nina (Sisang),Philippines,2.94546858513182
467,874,12.0,,Bangladesh,2.941511432634403
469,868,9.0,Lone,Japan,2.938519725176492
472,850,10.0,,Bangladesh,2.929418925714293
474,849,4.0,,Bangladesh,2.928907690243953
480,820,7.0,Bilis,China P Rep,2.9138138523837167
486,800,4.0,,Bangladesh,2.9030899869919438
487,800,9.0,,China P Rep,2.9030899869919438
493,786,11.0,Patsy,Philippines,2.895422546039408
506,739,3.0,,United States,2.8686444383948255
507,732,3.0,,United States,2.864511081058392
509,731,6.0,3,India,2.8639173769578603
515,720,8.0,Iris,China P Rep,2.8573324964312685
517,708,11.0,07B,India,2.850033257689769
519,700,4.0,,Bangladesh,2.845098040014257
525,686,9.0,Ruby,China P Rep,2.8363241157067516
526,681,9.0,,Japan,2.833147111912785
543,644,6.0,Typhoon Fengshen (Franck),Philippines,2.808885867359812
548,631,9.0,Titang,Philippines,2.8000293592441343
549,629,11.0,,India,2.798650645445269
565,600,10.0,,Bangladesh,2.7781512503836434
566,600,4.0,,Bangladesh,2.7781512503836434
575,600,5.0,,India,2.7781512503836434
581,600,6.0,,United States,2.7781512503836434
582,600,9.0,,United States,2.7781512503836434
584,594,5.0,,India,2.7737864449811935
590,580,11.0,Louise,Philippines,2.7634279935629373
593,575,9.0,Sening,Philippines,2.7596678446896306
596,569,12.0,Amy,Philippines,2.7551122663950713
608,551,6.0,,India,2.741151598851785
610,550,9.0,Vera,China P Rep,2.7403626894942437
620,525,5.0,,Bangladesh,2.720159303405957
621,525,5.0,,Bangladesh,2.720159303405957
622,525,8.0,,United States,2.720159303405957
624,524,11.0,,India,2.7193312869837265
631,517,10.0,,Philippines,2.7134905430939424
634,509,9.0,Jane,Japan,2.7067177823367587
640,503,11.0,Mike (Ruping),Philippines,2.7015679850559273
646,500,10.0,,Bangladesh,2.6989700043360187
647,500,10.0,,Bangladesh,2.6989700043360187
664,500,8.0,,India,2.6989700043360187
665,500,11.0,,India,2.6989700043360187
666,500,4.0,,India,2.6989700043360187
667,500,12.0,,India,2.6989700043360187
668,500,11.0,,India,2.6989700043360187
688,500,9.0,,United States,2.6989700043360187
706,470,11.0,,India,2.6720978579357175
720,455,4.0,,United States,2.6580113966571126
722,451,5.0,O2a,India,2.6541765418779604
723,451,10.0,Akune,Japan,2.6541765418779604
726,450,8.0,,India,2.6532125137753435
729,448,7.0,,China P Rep,2.651278013998144
732,445,8.0,Kent,China P Rep,2.6483600109809315
